station1,station2,trajet_existe
Charles de Gaulle - Etoile,Colonel Fabien,True
Colonel Fabien,Ternes,True
Ternes,Courcelles,True
Courcelles,Monceau,True
Monceau,Villiers,True
Villiers,Jaurès,True
Jaurès,Pigalle,True
Pigalle,Rome,True
Rome,Anvers,True
Anvers,Place de Clichy,True
Place de Clichy,Blanche,True
Blanche,Barbès - Rochechouart,True
Barbès - Rochechouart,Stalingrad,True
Stalingrad,La Chapelle,True
Père Lachaise,Rue Saint-Maur,True
Rue Saint-Maur,Porte de Bagnolet,True
Porte de Bagnolet,Gambetta,True
Gambetta,Parmentier,True
Parmentier,Gallieni,True
Gallieni,Arts et Métiers,True
Arts et Métiers,Réaumur - Sébastopol,True
Réaumur - Sébastopol,Temple,True
Temple,République,True
République,Sentier,True
Sentier,Bourse,True
Bourse,Quatre Septembre,True
Quatre Septembre,Opéra,True
Opéra,Havre-Caumartin,True
Havre-Caumartin,Saint-Lazare,True
Saint-Lazare,Europe,True
Europe,Villiers,True
Villiers,Malesherbes,True
Malesherbes,Wagram,True
Wagram,Pereire,True
Pereire,Porte de Champerret,True
Porte de Champerret,Louise Michel,True
Louise Michel,Anatole France,True
Anatole France,Pont de Levallois - Bécon,True
Gambetta,Pelleport,True
Pelleport,Saint-Fargeau,True
Saint-Fargeau,Porte des Lilas,True
Bagneux - Lucie Aubrac,Barbara,True
Barbara,Mairie de Montrouge,True
Mairie de Montrouge,Porte d'Orléans,True
Porte d'Orléans,Alésia,True
Alésia,Mouton-Duvernet,True
Mouton-Duvernet,Denfert-Rochereau,True
Denfert-Rochereau,Raspail,True
Raspail,Vavin,True
Vavin,Montparnasse Bienvenue,True
Montparnasse Bienvenue,Saint-Placide,True
Saint-Placide,Saint-Sulpice,True
Saint-Sulpice,Odéon,True
Odéon,Saint-Michel,True
Saint-Michel,Saint-Germain-des-Prés,True
Saint-Germain-des-Prés,Cité,True
Cité,Châtelet,True
Châtelet,Les Halles,True
Les Halles,Etienne Marcel,True
Etienne Marcel,Réaumur - Sébastopol,True
Réaumur - Sébastopol,Strasbourg - Saint-Denis,True
Strasbourg - Saint-Denis,Château d'Eau,True
Château d'Eau,Gare de l'Est,True
Gare de l'Est,Gare du Nord,True
Gare du Nord,Barbès - Rochechouart,True
Barbès - Rochechouart,Château Rouge,True
Château Rouge,Marcadet - Poissonniers,True
Marcadet - Poissonniers,Simplon,True
Simplon,Porte de Clignancourt,True
Place d'Italie,Campo-Formio,True
Campo-Formio,Saint-Marcel,True
Saint-Marcel,Gare d'Austerlitz,True
Gare d'Austerlitz,Quai de la Rapée,True
Quai de la Rapée,Bastille,True
Bastille,Bréguet-Sabin,True
Bréguet-Sabin,Richard-Lenoir,True
Richard-Lenoir,Oberkampf,True
Oberkampf,République,True
République,Jacques Bonsergent,True
Jacques Bonsergent,Gare de l'Est,True
Gare de l'Est,Gare du Nord,True
Gare du Nord,Jaurès,True
Jaurès,Stalingrad,True
Stalingrad,Laumière,True
Laumière,Ourcq,True
Ourcq,Porte de Pantin,True
Porte de Pantin,Hoche,True
Hoche,Eglise de Pantin,True
Eglise de Pantin,Bobigny-Pantin - Raymond Queneau,True
Bobigny-Pantin - Raymond Queneau,Bobigny Pablo Picasso,True
Corvisart,Place d'Italie,True
Place d'Italie,Glacière,True
Glacière,Saint-Jacques,True
Saint-Jacques,Nationale,True
Nationale,Denfert-Rochereau,True
Denfert-Rochereau,Chevaleret,True
Chevaleret,Quai de la Gare,True
Quai de la Gare,Dugommier,True
Dugommier,Raspail,True
Raspail,Daumesnil,True
Daumesnil,Bercy,True
Bercy,Edgar Quinet,True
Edgar Quinet,Bel-Air,True
Bel-Air,Montparnasse Bienvenue,True
Montparnasse Bienvenue,Pasteur,True
Pasteur,Picpus,True
Picpus,Sèvres-Lecourbe,True
Sèvres-Lecourbe,Cambronne,True
Cambronne,Nation,True
